Ticker,Company,Sector,Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,American Airlines Group Inc.,Industrials,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,Apple Inc.,Technology,Consumer Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,Healthcare,Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,Accenture plc,Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,Adobe Inc.,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADI,"Analog Devices, Inc.",Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSK,"Autodesk, Inc.",Technology,Software - Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,The AES Corporation,Utilities,Utilities - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,Aflac Incorporated,Financial,Insurance - Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIG,"American International Group, Inc.",Financial,Insurance - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLE,Allegion plc,Industrials,Security & Protection Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
