date,Open,High,Low,Close,Volume
2019-08-20,380.5,384.1,379.5,381.75,920600.0
2019-08-21,384.0,384.28,379.29,383.0,791500.0
2019-08-22,383.0,386.65,380.72,385.88,742600.0
2019-08-23,385.28,386.93,374.61,376.89,1392700.0
2019-08-26,380.0,380.56,375.5,380.32,688100.0
2019-08-27,381.75,382.21,377.25,379.99,760300.0
2019-08-28,379.04,383.0,376.77,380.97,820500.0
2019-08-29,384.53,385.78,380.8,384.43,1063500.0
2019-08-30,383.25,384.74,381.51,384.11,760700.0
2019-09-03,380.99,385.18,379.79,384.69,891700.0
2019-09-04,387.31,389.7,385.9,389.08,792200.0
2019-09-05,390.48,393.43,384.98,385.15,941500.0
2019-09-06,387.28,388.45,385.81,386.56,701100.0
2019-09-09,387.95,388.29,380.04,380.21,1146900.0
2019-09-10,377.29,381.32,370.46,381.32,1297600.0
2019-09-11,381.2,385.8,380.06,381.55,1125300.0
2019-09-12,384.49,388.51,383.27,386.63,855100.0
2019-09-13,387.77,387.77,383.6,384.86,898600.0
2019-09-16,388.9,394.6,386.89,392.66,1689900.0
2019-09-17,392.47,399.96,388.43,393.98,975800.0
2019-09-18,394.78,397.23,391.55,397.04,780300.0
2019-09-19,397.14,398.5,393.03,393.43,1044400.0
2019-09-20,394.49,395.44,388.05,388.25,2106700.0
2019-09-23,388.07,390.06,386.11,387.67,1132200.0
2019-09-24,390.0,392.99,387.21,389.17,1162400.0
2019-09-25,390.58,390.9,387.71,390.43,1336400.0
2019-09-26,391.25,394.64,388.93,392.92,875400.0
2019-09-27,395.94,395.95,386.43,387.87,751800.0
2019-09-30,388.56,393.82,388.42,390.06,1293200.0
2019-10-01,391.43,392.48,383.89,384.19,1240000.0
2019-10-02,382.74,383.06,374.07,378.16,1759000.0
2019-10-03,378.87,381.19,374.33,380.06,849800.0
2019-10-04,380.21,385.24,379.49,384.95,762200.0
2019-10-07,385.01,386.68,382.69,383.78,850100.0
2019-10-08,381.06,385.8,379.29,382.12,1001300.0
2019-10-09,384.83,386.33,382.5,384.61,712000.0
2019-10-10,383.99,388.51,383.2,386.88,690200.0
2019-10-11,389.79,390.73,381.25,381.47,1327000.0
2019-10-14,382.77,385.37,381.39,382.61,622300.0
2019-10-15,383.69,385.7,382.07,382.75,835300.0
2019-10-16,382.39,384.39,380.23,382.84,851300.0
2019-10-17,383.55,384.21,376.29,377.06,1004600.0
2019-10-18,376.72,377.71,368.0,372.48,1935600.0
2019-10-21,374.01,375.89,372.73,374.05,1160000.0
2019-10-22,363.0,377.5,363.0,373.68,2567200.0
2019-10-23,373.78,374.99,368.73,373.09,1279700.0
2019-10-24,373.76,377.46,372.0,374.74,1126900.0
2019-10-25,374.38,374.89,369.54,370.73,1173500.0
2019-10-28,371.39,375.45,370.12,371.84,1321700.0
2019-10-29,371.65,375.25,370.04,371.1,1298400.0
2019-10-30,373.22,378.99,371.47,378.64,1064900.0
2019-10-31,377.92,380.18,375.26,376.68,911600.0
2019-11-01,378.11,380.95,376.94,379.17,915600.0
2019-11-04,379.93,380.78,372.18,374.48,1117500.0
2019-11-05,374.06,375.77,371.31,373.63,1364200.0
2019-11-06,374.49,379.93,374.03,379.79,1505700.0
2019-11-07,380.34,382.74,377.91,378.75,1157200.0
2019-11-08,377.6,382.88,377.6,381.86,783500.0
2019-11-11,379.51,383.41,379.31,381.38,580500.0
2019-11-12,381.56,387.5,381.56,386.3,910700.0
2019-11-13,385.94,390.52,385.09,387.69,956100.0
2019-11-14,387.28,392.3,387.28,390.16,915600.0
2019-11-15,392.27,394.49,390.28,393.55,1533600.0
2019-11-18,393.0,395.68,391.95,392.76,827700.0
2019-11-19,394.0,395.82,390.53,390.81,800300.0
2019-11-20,391.06,393.54,390.25,392.7,907700.0
2019-11-21,390.86,392.25,389.32,390.26,1416900.0
2019-11-22,390.19,391.39,387.82,390.74,758600.0
2019-11-25,391.6,393.1,387.49,389.98,801400.0
2019-11-26,390.6,395.95,389.98,392.5,1206600.0
2019-11-27,393.63,394.48,391.62,394.24,770300.0
2019-11-29,392.0,392.2,390.04,391.03,401500.0
2019-12-02,390.71,391.53,383.44,383.62,1283400.0
2019-12-03,381.43,384.64,380.14,381.62,1384300.0
2019-12-04,383.53,387.95,382.28,384.58,1081100.0
2019-12-05,386.06,386.5,383.01,385.94,1203700.0
2019-12-06,387.17,388.9,385.1,386.86,709600.0
2019-12-09,386.22,387.42,383.23,383.34,821600.0
2019-12-10,383.5,386.77,383.25,384.44,862100.0
2019-12-11,385.51,386.61,384.03,386.24,578900.0
2019-12-12,386.0,387.79,383.45,384.05,736100.0
2019-12-13,384.0,387.78,384.0,386.47,658000.0
2019-12-16,387.9,388.35,384.05,385.95,847500.0
2019-12-17,385.0,388.0,385.0,386.89,730000.0
2019-12-18,387.4,387.64,379.66,380.57,1526000.0
2019-12-19,380.99,384.68,380.23,383.15,766300.0
2019-12-20,385.03,386.64,383.0,386.47,1599600.0
2019-12-23,387.66,394.69,387.59,391.9,1050400.0
2019-12-24,392.35,392.35,389.53,390.17,516300.0
2019-12-26,390.9,392.45,390.48,392.3,711600.0
2019-12-27,393.99,394.5,391.94,393.6,728800.0
2019-12-30,393.65,393.76,390.87,391.9,776900.0
2019-12-31,391.75,391.98,387.07,389.38,775400.0
2020-01-02,392.86,399.37,390.95,399.37,1258400.0
2020-01-03,404.02,417.17,403.0,413.74,2990100.0
2020-01-06,417.99,417.99,407.69,413.11,2477800.0
2020-01-07,411.25,416.12,408.29,414.5,1059900.0
2020-01-08,417.06,418.18,409.72,411.03,1708100.0
2020-01-09,410.49,416.0,410.0,414.93,1064300.0
2020-01-10,415.0,415.6,412.48,413.83,987800.0
2020-01-13,414.94,420.96,414.66,419.02,986800.0
2020-01-14,417.59,418.27,415.07,416.14,967200.0
2020-01-15,416.42,421.48,416.14,420.95,833000.0
2020-01-16,423.13,425.74,420.67,425.7,1085200.0
2020-01-17,426.61,427.54,424.5,425.66,1195600.0
2020-01-21,424.42,427.78,423.01,426.15,1071400.0
2020-01-22,427.5,428.5,424.36,424.42,918700.0
2020-01-23,424.06,429.56,424.0,428.78,978400.0
2020-01-24,429.9,433.52,429.69,432.5,1086700.0
2020-01-27,425.86,434.45,425.86,432.38,1737900.0
2020-01-28,434.77,438.99,426.27,437.17,2063200.0
2020-01-29,437.72,437.99,431.02,433.84,1268500.0
2020-01-30,430.3435,437.0,430.34,435.9,1210236.0
2020-01-31,434.93,435.57,426.1,428.12,1650100.0
2020-02-03,429.52,430.0,422.04,423.86,1795800.0
2020-02-04,425.46,431.99,425.46,430.78,1216300.0
2020-02-05,433.32,435.92,429.02,435.19,1251759.0
2020-02-06,435.56,439.86,434.91,438.97,833500.0
2020-02-07,438.14,441.21,437.29,439.17,883800.0
2020-02-10,439.0,441.52,437.82,439.76,870400.0
2020-02-11,441.36,442.53,437.47,439.85,744600.0
2020-02-12,439.01,439.69,434.6,436.6,1419200.0
2020-02-13,435.8,439.29,434.3,434.7,800200.0
2020-02-14,434.98,438.47,434.31,437.85,948600.0
2020-02-18,437.0,438.95,434.01,435.55,776100.0
2020-02-19,437.0,438.27,434.4,434.48,787200.0
2020-02-20,433.63,434.99,424.16,425.97,1190600.0
2020-02-21,425.12,428.72,422.66,427.8,1055500.0
2020-02-24,419.65,424.2,418.1,419.35,1117800.0
2020-02-25,420.1,421.73,397.53,400.36,1600100.0
2020-02-26,400.31,410.52,399.34,400.9,1678000.0
2020-02-27,393.52,399.01,384.33,384.6,1894100.0
2020-02-28,369.86,373.82,360.34,369.87,3364300.0
2020-03-02,371.35,383.1,360.57,381.35,2859900.0
2020-03-03,384.84,396.9,376.59,377.4,2531400.0
2020-03-04,385.42,402.96,383.19,402.03,2025800.0
2020-03-05,393.92,397.85,382.22,384.7,1967200.0
2020-03-06,372.09,384.95,368.46,382.47,2161000.0
2020-03-09,359.98,369.47,351.27,352.03,3086700.0
2020-03-10,363.01,367.67,350.6,367.17,2505600.0
2020-03-11,356.57,365.89,349.79,356.93,1950800.0
2020-03-12,322.0,339.42,310.08,311.38,3892600.0
2020-03-13,327.33,329.16,303.1,328.59,3877800.0
2020-03-16,295.01,311.56,285.0,287.94,2351500.0
2020-03-17,293.0,319.47,287.15,318.83,2626200.0
2020-03-18,296.92,339.23,296.04,333.41,3589400.0
2020-03-19,333.41,334.1,311.21,314.2,2836700.0
2020-03-20,314.2,315.84,288.21,291.22,3040100.0
2020-03-23,285.0,287.06,266.11,276.8,3172100.0
2020-03-24,287.97,294.99,280.24,288.91,3088400.0
2020-03-25,300.62,329.82,293.61,319.67,2950100.0
2020-03-26,326.0,352.1,324.01,350.33,2680900.0
2020-03-27,339.99,365.09,335.01,348.38,3562800.0
2020-03-30,351.49,356.48,342.28,348.85,1756300.0
2020-03-31,344.81,346.92,336.24,338.95,2169300.0
2020-04-01,324.83,340.99,322.01,338.52,2082300.0
2020-04-02,335.25,354.0,334.55,353.96,1896200.0
2020-04-03,352.0,355.84,349.61,350.5,2113200.0
2020-04-06,361.91,369.95,361.91,367.95,2525400.0
2020-04-07,380.5,381.9,354.05,355.28,2101500.0
2020-04-08,361.37,372.65,358.59,361.41,1447700.0
2020-04-09,369.74,376.33,363.52,371.0,1629400.0
2020-04-13,370.95,373.9899,365.71,369.94,1237160.0
2020-04-14,378.29,386.58,374.55,380.03,1653400.0
2020-04-15,376.75,376.75,367.36,374.38,1251500.0
2020-04-16,373.61,381.3,372.5,377.88,1568400.0
2020-04-17,387.42,402.45,384.83,401.51,1768400.0
2020-04-20,394.08,399.97,383.21,383.21,1487200.0
2020-04-21,383.01,392.54,371.01,373.44,2042000.0
2020-04-22,383.49,383.94,375.33,380.4,1188400.0
2020-04-23,382.75,384.87,376.19,376.73,1164400.0
2020-04-24,378.72,384.06,372.98,381.77,1029200.0
2020-04-27,383.91,384.04,378.0,378.57,1457400.0
2020-04-28,381.86,387.83,380.42,384.73,1313900.0
2020-04-29,388.16,393.51,379.5,387.91,1500400.0
2020-04-30,383.1,391.44,380.44,389.06,1343300.0
2020-05-01,385.64,387.41,381.09,383.47,911600.0
2020-05-04,382.02,382.97,374.13,380.16,1077900.0
2020-05-05,382.41,392.78,381.59,390.3,1270900.0
2020-05-06,390.89,390.89,378.41,378.58,1089800.0
2020-05-07,383.01,384.13,376.0,376.54,1462000.0
2020-05-08,378.03,381.13,376.25,378.4,1130400.0
2020-05-11,375.0,379.5,374.14,376.56,1287800.0
2020-05-12,378.0,382.44,371.03,371.11,1447700.0
2020-05-13,371.28,372.46,362.01,364.18,1287400.0
2020-05-14,360.99,361.54,352.26,356.28,1776400.0
2020-05-15,352.53,361.51,352.32,360.4,1854500.0
2020-05-18,371.21,380.49,366.02,377.54,1879700.0
2020-05-19,378.07,382.46,371.24,371.48,1087100.0
2020-05-20,372.44,374.0,362.11,362.51,1880500.0
2020-05-21,362.69,370.03,362.6,368.82,1179100.0
2020-05-22,369.86,370.16,365.62,369.0,752600.0
2020-05-26,376.95,376.95,370.57,372.2,1596100.0
2020-05-27,376.78,397.12,376.58,397.12,1986900.0
2020-05-28,401.46,404.26,398.16,398.44,1487900.0
2020-05-29,396.04,396.24,384.77,388.44,1733800.0
2020-06-01,388.94,394.0,387.31,388.96,1090300.0
2020-06-02,388.64,393.23,386.99,389.77,1404700.0
2020-06-03,393.65,403.6,392.59,402.63,1382200.0
2020-06-04,401.78,404.87,399.0,403.67,1261700.0
2020-06-05,410.0,416.0,406.45,410.75,1702500.0
2020-06-08,415.0,417.62,411.75,414.3,1294600.0
2020-06-09,410.53,411.94,407.0,408.56,1188400.0
2020-06-10,406.5,409.1,403.45,403.77,1188200.0
2020-06-11,392.69,397.31,383.57,383.88,1698800.0
