date,Open,High,Low,Close,Volume
2019-08-20,99.01,99.69,98.45,98.91,556600.0
2019-08-21,99.5,99.5,98.6,99.32,408500.0
2019-08-22,99.63,100.42,99.19,100.13,419600.0
2019-08-23,99.69,100.45,97.0,97.52,681400.0
2019-08-26,98.24,98.7,97.46,98.67,598200.0
2019-08-27,99.39,99.39,97.84,98.27,494100.0
2019-08-28,98.02,98.59,97.3,98.53,313700.0
2019-08-29,99.64,99.83,98.54,99.77,338800.0
2019-08-30,100.03,100.39,99.38,99.84,385200.0
2019-09-03,99.84,100.1,99.02,99.53,363900.0
2019-09-04,100.02,100.17,99.15,99.91,405000.0
2019-09-05,100.71,102.11,100.24,102.02,608900.0
2019-09-06,102.35,104.44,102.15,104.26,751600.0
2019-09-09,104.79,105.26,102.67,102.84,537400.0
2019-09-10,102.89,102.89,97.56,98.15,780700.0
2019-09-11,98.08,98.6,96.73,98.18,840300.0
2019-09-12,98.29,100.01,98.29,99.0,488100.0
2019-09-13,99.68,99.89,97.75,99.52,569500.0
2019-09-16,99.35,100.52,98.47,99.28,632000.0
2019-09-17,99.89,103.02,99.27,102.73,1103200.0
2019-09-18,103.22,103.28,101.27,102.62,469600.0
2019-09-19,102.49,103.32,101.17,101.68,407600.0
2019-09-20,101.91,101.98,100.59,100.68,620200.0
2019-09-23,100.62,101.69,100.06,100.25,764100.0
2019-09-24,101.32,102.52,100.61,101.37,1050200.0
2019-09-25,101.82,103.05,101.13,102.76,1140600.0
2019-09-26,102.4,102.4,100.94,101.82,443000.0
2019-09-27,102.57,102.8,99.76,100.08,643100.0
2019-09-30,100.22,100.43,99.15,99.35,634500.0
2019-10-01,99.31,99.33,98.03,98.59,567100.0
2019-10-02,97.85,97.95,95.63,95.74,856600.0
2019-10-03,95.53,97.18,95.3,97.14,446600.0
2019-10-04,97.39,99.34,97.38,99.23,542400.0
2019-10-07,98.9,99.86,98.05,99.01,658000.0
2019-10-08,98.64,98.64,96.88,97.08,730100.0
2019-10-09,97.97,98.26,96.89,97.33,580500.0
2019-10-10,97.37,98.91,97.02,98.56,514700.0
